"Date","X"
2000-01-01,2.62
2000-02-01,2.64
2000-03-01,2.46
2000-04-01,2.29
2000-05-01,2.28
2000-06-01,1.94
2000-07-01,2.19
2000-08-01,2.18
2000-09-01,2.37
2000-10-01,2.53
2000-11-01,2.89
2000-12-01,3.41
2001-01-01,3.29
2001-02-01,3.32
2001-03-01,3.03
2001-04-01,3.11
2001-05-01,2.69
2001-06-01,2.66
2001-07-01,2.85
2001-08-01,2.85
2001-09-01,3.17
2001-10-01,3.62
2001-11-01,3.57
2001-12-01,3.66
2002-01-01,3.79
2002-02-01,4.51
2002-03-01,3.9
2002-04-01,3.91
2002-05-01,3.69
2002-06-01,3.41
2002-07-01,3.57
2002-08-01,3.99
2002-09-01,4.3
2002-10-01,4.64
2002-11-01,4.75
2002-12-01,5.15
2003-01-01,5.14
2003-02-01,4.82
2003-03-01,5.55
2003-04-01,4.83
2003-05-01,4.81
2003-06-01,3.88
2003-07-01,4.13
2003-08-01,4.76
2003-09-01,5.14
2003-10-01,5.85
2003-11-01,5.56
2003-12-01,6.58
2004-01-01,6.84
2004-02-01,6.23
2004-03-01,6.29
2004-04-01,6.76
2004-05-01,5.8
2004-06-01,5.65
2004-07-01,5.35
2004-08-01,5.86
2004-09-01,6.49
2004-10-01,7.2
2004-11-01,8.44
2004-12-01,7.23
2005-01-01,8.5
2005-02-01,7.91
2005-03-01,8.44
2005-04-01,8.44
2005-05-01,7.14
2005-06-01,6.44
2005-07-01,7.35
2005-08-01,7.95
2005-09-01,8.17
2005-10-01,8.23
2005-11-01,9.66
2005-12-01,9.93
2006-01-01,10.18
2006-02-01,12.08
2006-03-01,11.2
2006-04-01,10.38
2006-05-01,9.74
2006-06-01,8.61
2006-07-01,9.16
2006-08-01,9.83
2006-09-01,10.46
2006-10-01,11.77
2006-11-01,12.06
2006-12-01,14.87
2007-01-01,14.32
2007-02-01,15.01
2007-03-01,13.72
2007-04-01,12.4
2007-05-01,12.21
2007-06-01,11.88
2007-07-01,10.83
2007-08-01,11.37
2007-09-01,14.15
2007-10-01,13.92
2007-11-01,14.83
2007-12-01,17.28
2008-01-01,16.91
2008-02-01,19.36
2008-03-01,16.37
2008-04-01,15.46
2008-05-01,15.28
2008-06-01,13.68
2008-07-01,14.76
2008-08-01,14.12
2008-09-01,16.48
2008-10-01,17.57
2008-11-01,19.49
2008-12-01,22.94
